"filename", "language", "Java", "XML", "comment", "blank", "total"
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\.idea\inspectionProfiles\Project_Default.xml", "XML", 0, 10, 0, 0, 10
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\.idea\misc.xml", "XML", 0, 5, 0, 0, 5
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\.idea\modules.xml", "XML", 0, 8, 0, 0, 8
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\.idea\uiDesigner.xml", "XML", 0, 124, 0, 0, 124
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\.idea\vcs.xml", "XML", 0, 6, 0, 0, 6
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\Drukarnia.iml", "XML", 0, 11, 0, 0, 11
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\src\DziałDruku\Drukarnie.java", "Java", 153, 0, 0, 24, 177
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\src\DziałDruku\DziałDruku.java", "Java", 53, 0, 0, 11, 64
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\src\DziałDruku\LepszaDrukarnia.java", "Java", 6, 0, 1, 3, 10
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\src\DziałDruku\Produkcja.java", "Java", 35, 0, 0, 8, 43
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\src\DziałDruku\ZwykłaDrukarnia.java", "Java", 6, 0, 0, 2, 8
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\src\DziałHandlu\Album.java", "Java", 8, 0, 0, 5, 13
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\src\DziałHandlu\Czasopismo.java", "Java", 34, 0, 0, 11, 45
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\src\DziałHandlu\DziałHandlowy.java", "Java", 23, 0, 0, 10, 33
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\src\DziałHandlu\Ksiązka.java", "Java", 34, 0, 0, 9, 43
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\src\DziałHandlu\Kwartalnik.java", "Java", 9, 0, 1, 2, 12
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\src\DziałHandlu\ListaDostepnychCzasopismDoDrukowania.java", "Java", 25, 0, 0, 13, 38
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\src\DziałHandlu\ListaDostepnychKsiazekDoDrukowania.java", "Java", 42, 0, 0, 12, 54
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\src\DziałHandlu\MagazynSklepu.java", "Java", 115, 0, 0, 37, 152
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\src\DziałHandlu\Miesięczniki.java", "Java", 9, 0, 0, 2, 11
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\src\DziałHandlu\Romanse.java", "Java", 10, 0, 0, 4, 14
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\src\DziałHandlu\Sensacyjne.java", "Java", 9, 0, 0, 1, 10
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\src\DziałHandlu\Tygodnik.java", "Java", 9, 0, 0, 2, 11
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\src\DziałProgramowy\Autor.java", "Java", 40, 0, 0, 9, 49
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\src\DziałProgramowy\CzasZatrudnienia.java", "Java", 82, 0, 0, 13, 95
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\src\DziałProgramowy\DziałProgramowy.java", "Java", 15, 0, 0, 8, 23
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\src\DziałProgramowy\KsiazkaTworzona.java", "Java", 18, 0, 0, 5, 23
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\src\DziałProgramowy\OdKsiaskiTworzonej.java", "Java", 221, 0, 5, 44, 270
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\src\DziałProgramowy\OdZatrudniania.java", "Java", 198, 0, 4, 47, 249
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\src\DziałProgramowy\OdZwalniania.java", "Java", 48, 0, 0, 14, 62
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\src\DziałProgramowy\TymczasowiAutorzy.java", "Java", 25, 0, 0, 6, 31
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\src\DziałProgramowy\TytulyDoStworzenia.java", "Java", 37, 0, 0, 8, 45
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\src\DziałProgramowy\UmowaODzieło.java", "Java", 27, 0, 0, 6, 33
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\src\DziałProgramowy\UmowaOPracę.java", "Java", 16, 0, 0, 4, 20
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\src\DziałProgramowy\Umowy.java", "Java", 4, 0, 0, 3, 7
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\src\DziałProgramowy\ZatrudnieniAutorzy.java", "Java", 29, 0, 0, 10, 39
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\src\Wydawnictwo\BazoweUstawieniaDziałow.java", "Java", 19, 0, 0, 4, 23
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\src\Wydawnictwo\Frame.java", "Java", 115, 0, 0, 18, 133
"c:\Users\barte\Desktop\programowanie\drukania\Drukarnia\src\Wydawnictwo\Main.java", "Java", 7, 0, 0, 2, 9
